Name,File,CountInput,CountOutput,CountPathLog,CyclomaticStrict,MaxNesting,PREDICTION
"print_error_message(int,const char *,const char *)",pcre2test-pre.c,11,4,0,2,1,True
print_jit_target(FILE *),pcre2test-pre.c,3,1,0,2,1,False
"print_match(int *,const void *,int)",pcre2grep-pre.c,7,2,1,5,1,False
"print_newline_config(uint32_t,BOOL)",pcre2test-pre.c,4,1,1,3,1,False
"print_prop_8(FILE *,PCRE2_SPTR8,const char *,const char *)",pcre2test-pre.c,7,2,0,4,2,False
print_unicode_version(FILE *),pcre2test-pre.c,3,1,0,2,1,False
print_version(FILE *),pcre2test-pre.c,4,1,0,2,1,False
"prmsg(const char **,const char *)",pcre2test-pre.c,5,2,0,1,0,False
process_command(),pcre2test-pre.c,17,35,3,55,5,True
process_data(),pcre2test-pre.c,58,68,19,301,9,True
process_pattern(),pcre2test-pre.c,51,60,13,143,7,True
"read_name(int *,PCRE2_SPTR8 *,PCRE2_SPTR8,uint32_t,size_t *,PCRE2_SPTR8 *,uint32_t *,int *,compile_block_8 *)",compile-pre.c,7,6,2,14,2,True
"read_number(int *,PCRE2_SPTR8 *,PCRE2_SPTR8,int32_t,uint32_t,uint32_t,int *,int *)",compile-pre.c,8,4,2,17,2,True
"read_one_line(int *,char *,int,FILE *)",pcre2grep-pre.c,13,4,7,45,2,True
"read_pattern_file(int *,char *,patstr **,patstr **)",pcre2grep-pre.c,16,15,8,52,4,True
"read_repeat_counts(int *,PCRE2_SPTR8 *,PCRE2_SPTR8,uint32_t *,uint32_t *,int *)",compile-pre.c,8,6,3,15,3,False
"readdirectory(int *,directory_type *)",pcre2grep-pre.c,3,3,1,5,2,False
"scan_modifiers(const uint8_t *,unsigned int)",pcre2test-pre.c,5,3,1,6,3,False
"serial_error(int,const char *)",pcre2test-pre.c,4,3,0,1,0,False
"set_lookbehind_lengths(int *,uint32_t **,int *,int *,parsed_recurse_check *,compile_block_8 *)",compile-pre.c,9,5,1,5,3,True
"set_nottype_bits(int *,pcre2_real_code_8 *,int,unsigned int)",study-pre.c,5,1,1,4,2,False
"set_start_bits(int *,pcre2_real_code_8 *,PCRE2_SPTR8,BOOL)",study-pre.c,8,7,3,210,7,False
"set_table_bit(int *,pcre2_real_code_8 *,PCRE2_SPTR8,BOOL,BOOL)",study-pre.c,11,3,1,10,3,False
"set_type_bits(int *,pcre2_real_code_8 *,int,unsigned int)",study-pre.c,6,2,1,5,2,False
"show_compile_extra_options(uint32_t,const char *,const char *)",pcre2test-pre.c,6,1,0,7,1,False
"show_compile_options(uint32_t,const char *,const char *)",pcre2test-pre.c,6,1,0,31,1,False
"show_controls(uint32_t,uint32_t,const char *)",pcre2test-pre.c,6,1,0,43,0,False
show_framesize(),pcre2test-pre.c,3,2,0,1,0,False
show_match_options(uint32_t),pcre2test-pre.c,3,1,0,12,0,False
show_memory_info(),pcre2test-pre.c,7,2,1,3,1,False
"show_ovector(size_t *,uint32_t)",pcre2test-pre.c,4,1,1,6,2,False
show_pattern_info(),pcre2test-pre.c,15,14,10,68,5,True
"stack_guard(uint32_t,void *)",pcre2test-pre.c,4,1,0,1,0,False
"strcmpic(int *,const char *,const char *)",pcre2grep-pre.c,3,2,0,4,2,False
"strncmpic(const uint8_t *,const uint8_t *,int)",pcre2test-pre.c,5,2,0,3,2,False
"substitute_callout_function(pcre2_substitute_callout_block_8 *,void *)",pcre2test-pre.c,5,1,0,1,0,False
